date,regime,regime_age_true,price,log_return
2013-01-01,sideways,1,97.83049273519539,-0.02193387088423956
2013-01-02,sideways,2,97.62359401682028,-0.002117108924070539
2013-01-03,sideways,3,98.07264005718281,0.004589222992451097
2013-01-04,sideways,4,98.70745913358246,0.006452088206809944
2013-01-07,sideways,5,99.05786349867424,0.003543641798353428
2013-01-08,sideways,6,99.02276922840103,-0.00035434328088762915
2013-01-09,sideways,7,99.87647574196335,0.008584363970263598
2013-01-10,sideways,8,99.67930720685342,-0.0019760750237975103
2013-01-11,sideways,9,99.91775255036505,0.0023892682310463556
2013-01-14,sideways,10,99.59306392023348,-0.0032548502634860703
2013-01-15,sideways,11,99.88370615864694,0.0029140480264292163
2013-01-16,sideways,12,99.12500601214957,-0.007624830229751086
2013-01-17,sideways,13,99.53795217519456,0.004157259728253239
2013-01-18,sideways,14,99.68598246583102,0.0014860696145343566
2013-01-21,sideways,15,100.22437406395706,0.00538634325058311
2013-01-22,sideways,16,100.2653756338179,0.0004090141315878735
2013-01-23,sideways,17,99.18271103434242,-0.010856712158552493
2013-01-24,sideways,18,98.71927897998134,-0.004683458730598246
2013-01-25,sideways,19,98.29758764908578,-0.004280770292087701
2013-01-28,sideways,20,98.09026731222141,-0.002111336405402965
2013-01-29,sideways,21,98.45338049583485,0.0036949919348086427
2013-01-30,sideways,22,98.22149994259134,-0.0023580099316054775
2013-01-31,sideways,23,96.92874391520701,-0.013249022007567859
2013-02-01,sideways,24,97.23507782272921,0.003155419572528009
2013-02-04,sideways,25,96.97314882797507,-0.002697405337431024
2013-02-05,sideways,26,96.80103015146193,-0.0017764876897999333
2013-02-06,sideways,27,96.53349007924814,-0.0027676406952113525
2013-02-07,sideways,28,96.90456943813525,0.003836678417956025
2013-02-08,sideways,29,97.17332038781021,0.0027695181733248904
2013-02-11,sideways,30,97.099251054549,-0.0007625300504365233
2013-02-12,sideways,31,95.14085159116095,-0.02037522024137464
2013-02-13,sideways,32,94.58790000468818,-0.005828880940862905
2013-02-14,sideways,33,94.42632592491343,-0.0017096503539409868
2013-02-15,sideways,34,95.09062046964173,0.007010426011882174
2013-02-18,sideways,35,94.41515500321758,-0.007128736053235037
2013-02-19,sideways,36,93.47681636577651,-0.009988148312629213
2013-02-20,sideways,37,92.80891310122857,-0.007170770712489107
2013-02-21,sideways,38,92.50654944079702,-0.0032632347522319515
2013-02-22,sideways,39,93.58509253350574,0.011591656217443388
2013-02-25,sideways,40,93.68897362876783,0.0011094019374425796
2013-02-26,sideways,41,94.15361706975632,0.00494716759302182
2013-02-27,sideways,42,93.21614896245902,-0.01000669371406885
2013-02-28,sideways,43,92.79349465199768,-0.0045444422088523695
2013-03-01,sideways,44,92.54182113975565,-0.0027158738296752835
2013-03-04,sideways,45,92.69074817455622,0.0016080008763198564
2013-03-05,sideways,46,94.27563373412879,0.016954101659445185
2013-03-06,sideways,47,93.05867792784468,-0.012992525656740238
2013-03-07,sideways,48,92.73740823758605,-0.003458307621920651
2013-03-08,sideways,49,93.3639367822598,0.006733222821631029
2013-03-11,sideways,50,92.05718937195064,-0.01409514732198445
2013-03-12,sideways,51,92.03730401099169,-0.00021603428403402906
2013-03-13,sideways,52,92.76092009655078,0.007831458201894712
2013-03-14,sideways,53,91.9842601960544,-0.008407953860269839
2013-03-15,sideways,54,91.59759830414565,-0.004212425637572088
2013-03-18,sideways,55,92.10003369262311,0.005470257138426716
2013-03-19,sideways,56,92.06824736276067,-0.0003451878900744726
2013-03-20,sideways,57,91.80537273132828,-0.0028592987987521787
2013-03-21,sideways,58,91.90727574468497,0.0011093740649119074
2013-03-22,sideways,59,92.65321608936736,0.008083467908683015
2013-03-25,sideways,60,93.24887129760135,0.006408290031010589
2013-03-26,sideways,61,93.43417033546442,0.0019851733408246613
2013-03-27,sideways,62,94.06259234694755,0.006703308959957066
2013-03-28,sideways,63,93.906470598602,-0.0016611434009323257
2013-03-29,sideways,64,95.14836302572424,0.013138096147087717
2013-04-01,sideways,65,94.89833517004699,-0.0026312269805636207
2013-04-02,sideways,66,95.0392495586095,0.0014837970548856362
2013-04-03,sideways,67,96.08384266976906,0.010931211928570906
2013-04-04,sideways,68,95.2123627490979,-0.009111377277343461
2013-04-05,sideways,69,95.0528875499876,-0.0016763464290532404
2013-04-08,sideways,70,95.07595923524032,0.00024269526435433022
2013-04-09,sideways,71,95.6115328743773,0.005617306531307961
2013-04-10,sideways,72,95.48443803360817,-0.0013301678617796996
2013-04-11,sideways,73,95.62987253831687,0.0015219638168054116
2013-04-12,sideways,74,95.68329530146539,0.0005584849714246943
2013-04-15,sideways,75,97.34717368465748,0.01723996841263645
2013-04-16,sideways,76,96.17803344771491,-0.012082709823494542
2013-04-17,sideways,77,97.19533335694372,0.01052171052462184
2013-04-18,sideways,78,95.73669990422124,-0.01512098556471933
2013-04-19,sideways,79,95.26759539549938,-0.0049119885098265195
2013-04-22,sideways,80,93.2467213460332,-0.021440827430522273
2013-04-23,sideways,81,92.02846647159407,-0.013150950719129974
2013-04-24,sideways,82,94.89822007118288,0.03070700224558091
2013-04-25,sideways,83,95.02975698523446,0.001385124373148361
2013-04-26,sideways,84,94.90818019371689,-0.0012801740392370865
2013-04-29,sideways,85,94.6596442283212,-0.0026221338832785597
2013-04-30,sideways,86,94.49503512607936,-0.0017404712836820969
2013-05-01,sideways,87,94.19552263510265,-0.0031746447313547024
2013-05-02,sideways,88,94.28243354147907,0.000922239547790796
