date,regime,regime_age_true,price,log_return,realized_vol,z
2013-01-01,sideways,1,97.8304927351954,,,
2013-01-02,sideways,2,97.62359401682028,-0.002117108924070639,,
2013-01-03,sideways,3,98.0726400571828,0.004589222992451005,,
2013-01-04,sideways,4,98.70745913358246,0.006452088206809825,,
2013-01-07,sideways,5,99.05786349867424,0.003543641798353402,,
2013-01-08,sideways,6,99.02276922840105,-0.00035434328088749823,,
2013-01-09,sideways,7,99.87647574196336,0.008584363970263626,,
2013-01-10,sideways,8,99.67930720685342,-0.001976075023797557,,
2013-01-11,sideways,9,99.91775255036504,0.0023892682310462125,,
2013-01-14,sideways,10,99.59306392023348,-0.0032548502634860317,,
2013-01-15,sideways,11,99.88370615864694,0.0029140480264292687,,
2013-01-16,sideways,12,99.12500601214956,-0.007624830229751097,,
2013-01-17,sideways,13,99.53795217519456,0.004157259728253309,,
2013-01-18,sideways,14,99.68598246583102,0.0014860696145342935,,
2013-01-21,sideways,15,100.22437406395706,0.005386343250583152,,
2013-01-22,sideways,16,100.2653756338179,0.00040901413158774956,,
2013-01-23,sideways,17,99.18271103434242,-0.010856712158552382,,
2013-01-24,sideways,18,98.71927897998134,-0.004683458730598162,,
2013-01-25,sideways,19,98.29758764908578,-0.004280770292087747,,
2013-01-28,sideways,20,98.0902673122214,-0.0021113364054031244,,
2013-01-29,sideways,21,98.45338049583484,0.003694991934808641,0.004937929629028118,0.7482876858121382
2013-01-30,sideways,22,98.22149994259134,-0.002358009931605309,0.0049444699895387235,-0.4768984211845304
2013-01-31,sideways,23,96.928743915207,-0.013249022007568069,0.00568453698038146,-2.330712607428406
2013-02-01,sideways,24,97.2350778227292,0.0031554195725281356,0.005514962066213062,0.5721561698238218
2013-02-04,sideways,25,96.97314882797508,-0.0026974053374307088,0.005435132922615707,-0.49629059230672096
2013-02-05,sideways,26,96.80103015146192,-0.0017764876898002464,0.005434669632601836,-0.32688052998536304
2013-02-06,sideways,27,96.53349007924814,-0.0027676406952111834,0.0049361289070978,-0.5606905223304671
2013-02-07,sideways,28,96.90456943813524,0.003836678417955768,0.00508794691169634,0.7540720224764699
2013-02-08,sideways,29,97.1733203878102,0.0027695181733249905,0.005103583727841207,0.5426614553645198
2013-02-11,sideways,30,97.099251054549,-0.0007625300504363434,0.00508611626945471,-0.1499238338328619
2013-02-12,sideways,31,95.14085159116097,-0.02037522024137446,0.006537271632935644,-3.116777363008964
2013-02-13,sideways,32,94.58790000468818,-0.005828880940862981,0.00647422415676767,-0.9003211504145875
2013-02-14,sideways,33,94.42632592491344,-0.0017096503539408125,0.006294639749224825,-0.2716041619619857
2013-02-15,sideways,34,95.09062046964172,0.007010426011881729,0.0065988952433960425,1.0623635856164761
2013-02-18,sideways,35,94.41515500321758,-0.007128736053234852,0.006416562412954665,-1.1109899030737005
2013-02-19,sideways,36,93.47681636577651,-0.009988148312629173,0.006546926532586971,-1.5256240104289711
2013-02-20,sideways,37,92.80891310122855,-0.007170770712489328,0.0063788142746261005,-1.1241541772133894
2013-02-21,sideways,38,92.50654944079702,-0.003263234752231683,0.006370749346479683,-0.5122214946401659
